Name,Type,Personality,Energy-Level,Good-With-Children,Good-With-Other-Dogs,Shedding, Grooming,Tranability,Height,Weight,Life-Expectancy,Barking-Level,Summary-Energy,Summary-Size
Affenpinscher,Toy Group,"Loyal, curious, famously funny; fearless out of all proportion to their size","Somewhat Active; Brisk walks, making new friends, and plenty of play will satisfy exercise needs",Better with Supervision,With Supervision,Seasonal,Weekly,Eager To Please,9-11.5 inches,7-10 pounds,12-15 years,Barks When Necessary,medium energy,small size
Afghan Hound,Hound Group,A breed of charming contradictions,"Very Active; Bred for high-speed pursuit, Afghans need fenced-in running room and brisk walks",Better with Supervision,With Supervision,"Infrequent, Hypoallergenic",Weekly,Independent,25-27 inches,50-60 pounds,12-18 years,Barks When Necessary,high energy,large size
Airedale Terrier,Terrier Group,"Clever, confident, proud; friendly but courageous","Very Active; A spirited do-it-all breed, Airedales thrive on physical challenges and mental stimulation",Better with Supervision,With Supervision,Seasonal,Weekly,Eager To Please,23 inches,50-70 pounds,11-14 years,Barks When Necessary,medium energy,medium size
Akita,Working Group,"Dignified, courageous, and profoundly loyal to their humans","Somewhat Active; Not a hyper breed, but these big guys enjoy regular exercise",Better with Supervision,Not Recommended,Seasonal,Weekly,Eager To Please,"26-28 inches (male), 24-26 inches (female)","100-130 pounds (male), 70-100 pounds (female)",10-13 years,Quiet,medium energy,large size
Alaskan Malamute,Working Group,"Affectionate, loyal, playful but dignified","Somewhat Active; A very strong dog built for heavy work, the big guy craves regular exercise",Better with Supervision,With Supervision,Seasonal,Weekly,Independent,"25 inches (male), 23 inches (female)","85 pounds (male), 75 pounds (female)",10-14 years,Barks When Necessary,high energy,large size
American English Coonhound,Hound Group,Sweet and mellow; sociable with dogs and people alike,"Very Active; One whiff of raccoon, and this mild-mannered gentleman becomes Superhound",Better with Supervision,Yes,Seasonal,Occasional,Responds Well,"24-26 inches (male), 23-25 inches (female)",45-65 pounds,11-12 years,Likes To Be Vocal,high energy,large size
American Eskimo Dog,Non Sporting Group,"Playful, perky, very smart; an excellent trick dog and watchdog","Very Active; This quick, curious dog needs regular exercise and mental challenges",Yes,With Supervision,Seasonal,Occasional,Eager To Please,"9-12 inches (toy), 12-15 inches (miniature), 15-19 inches (Standard)","6-10 pounds (toy), 10-20 pounds (miniature), 25-35 pounds (standard)",13-15 years,Barks When Necessary,medium energy,medium size
American Foxhound,Hound Group,"Sweet-tempered and easygoing, but also stubborn and independent","Very Active; They could be called “Springsteen hounds” because, baby, they were born to run; lots of exercise required",Yes,Yes,Seasonal,Occasional,Responds Well,"22-25 inches (male), 21-24 inches (female)","65-70 pounds (male), 60-65 pounds (female)",11-13 years,Barks When Necessary,high energy,large size
American Hairless Terrier,Terrier Group,"Feisty, inquisitive, playful; a real terrier","Somewhat Active; not a hyper dog, but upbeat and game for anything Coat and Grooming",Yes,With Supervision,"Infrequent, Hypoallergenic",Occasional,Eager To Please,12-16 inches,12-16 pounds,14-16 years,Barks When Necessary,medium energy,small size
American Leopard Hound,Hound Group,"Feisty, inquisitive, playful; a real terrier","Somewhat Active; not a hyper dog, but upbeat and game for anything Coat and Grooming",Yes,With Supervision,"Infrequent, Hypoallergenic",Occasional,Eager To Please,12-16 inches,12-16 pounds,14-16 years,Barks When Necessary,low energy,large size
American Staffordshire Terrier,Terrier Group,"Feisty, inquisitive, playful; a real terrier","Somewhat Active; not a hyper dog, but upbeat and game for anything Coat and Grooming",Yes,With Supervision,"Infrequent, Hypoallergenic",Occasional,Eager To Please,12-16 inches,12-16 pounds,14-16 years,Barks When Necessary,medium energy,medium size
American Water Spaniel,Sporting Group,"Happy, eager, and charming; aloof with strangers, and a little stubborn",Very Active; Upbeat AWS are outdoorsy athletes who love hunting and swimming,Better with Supervision,With Supervision,Infrequent,Weekly,Eager To Please,15-18 inches,"30-45 pounds (male), 25-40 pounds (female)",10-14 years,Barks When Necessary,medium energy,medium size
Anatolian Shepherd Dog,Working Group,"Calm, watchful, loyal, and smart; protective and territorial","Somewhat Active; These big guys live for long walks, romps in the yard, and something or someone to guard",Better with Supervision,With Supervision,Seasonal,Occasional,Independent,"29 inches (male), 27 inches (female)","110-150 pounds (male), 80-120 pounds (female)",11-13 years,Barks When Necessary,medium energy,large size
Australian Cattle Dog,Herding Group,"Alert, curious, and pleasant",Very Active; These high-energy dogs need a job to remain happy,Better with Older Children,With Supervision,Seasonal,Occasional,Independent,"18-20 inches (male), 17-19 inches (female)",35-50 pounds,12-16 years,Barks When Necessary,high energy,medium size
Australian Kelpie,Herding Group,"Alert, curious, and pleasant",Very Active; These high-energy dogs need a job to remain happy,Better with Older Children,With Supervision,Seasonal,Occasional,Independent,"18-20 inches (male), 17-19 inches (female)",35-50 pounds,12-16 years,Barks When Necessary,high energy,medium size
Australian Shepherd,Herding Group,"Smart, work-oriented, exuberant","Very Active; True working dogs, unemployment doesn't agree with these guys.",Yes,With Supervision,Seasonal,Occasional,Independent,"20-23 inches (male), 18-21 inches (female)","55-70 pounds (male), 35-55 pounds (female)",13-15 years,Barks When Necessary,high energy,medium size
Australian Terrier,Terrier Group,"Plucky, spirited, and smart; how do they fit so much dog into such a bitty package?","Very Active; Upbeat and lively, with lots of old-time terrier curiosity and grit",Yes,With Supervision,Infrequent,Occasional,Responds Well,10-11 inches,12-18 pounds,11-15 years,Barks When Necessary,high energy,small size
Azawakh,Miscellaneous,"Plucky, spirited, and smart; how do they fit so much dog into such a bitty package?","Very Active; Upbeat and lively, with lots of old-time terrier curiosity and grit",Yes,With Supervision,Infrequent,Occasional,Responds Well,10-11 inches,12-18 pounds,11-15 years,Barks When Necessary,high energy,large size
Barbet,Sporting Group,"Plucky, spirited, and smart; how do they fit so much dog into such a bitty package?","Very Active; Upbeat and lively, with lots of old-time terrier curiosity and grit",Yes,With Supervision,Infrequent,Occasional,Responds Well,10-11 inches,12-18 pounds,11-15 years,Barks When Necessary,low energy,medium size
Basenji,Hound Group,"Smart, independent, alert, and poised; affectionate with friends, aloof with strangers","Very Active; Energetic, inquisitive hounds, Basenjis need running room and lots of exercise",Better with Older Children,With Supervision,Seasonal,Occasional,Independent,"17 inches (male), 16 inches (female)","24 pounds (male), 22 pounds (female)",13-14 years,Quiet,high energy,medium size
Basset Hound,Hound Group,Patient and low-key; a bit stubborn but always charming,Not Very Active; Bassets are not the most active breed but do need regular walks to stay healthy,Yes,Yes,Seasonal,Weekly,Responds Well,up to 15 inches,40-65 pounds,12-13 years,Barks When Necessary,medium energy,medium size
Bavarian Mountain Scent Hound,Hound Group,Patient and low-key; a bit stubborn but always charming,Not Very Active; Bassets are not the most active breed but do need regular walks to stay healthy,Yes,Yes,Seasonal,Weekly,Responds Well,up to 15 inches,40-65 pounds,12-13 years,Barks When Necessary,low energy,medium size
Beagle,Hound Group,"Merry, friendly, and curious","Very Active; This quick, energetic and compact hound dog needs plenty of exercise",Yes,Yes,Seasonal,Weekly,Responds Well,"13 inches & under, 13-15 inches","under 20 pounds (13 inches & under), 20-30 pounds (13-15 inches)",10-15 years,Likes To Be Vocal,medium energy,small size
